video_id,titulo,descrição,data_publicacao,Visualizações,Likes,Comentários,Taxa de Engajamento,thumbnail_url,youtube_url
I7HahVwYpwo,The Black Eyed Peas - Meet Me Halfway (Official Music Video),"REMASTERED IN HD!
Music video by Black Eyed Peas performing Meet Me Halfway. YouTube view counts pre-VEVO: 3,094,999. (C) 2009 Interscope Records
VEVOCertified on Dec. 5, 2012. http://vevo.com/certifi",2010-01-21,625861824,2705410,85661,0.45,https://i.ytimg.com/vi/I7HahVwYpwo/hqdefault.jpg,https://www.youtube.com/watch?v=I7HahVwYpwo
v203Fn9uPvk,Want You Bad - Shoshana Ami (Official Lyric Video),"Official lyric video for the single ""Want You Bad"" by Shoshana Ami, off her brand new album BABY. Album now available on Spotify, Apple Music, Amazon and all other digital music stores! LINKS:

Spotif",2025-06-10,17702,141,1,0.8,https://i.ytimg.com/vi/v203Fn9uPvk/hqdefault.jpg,https://www.youtube.com/watch?v=v203Fn9uPvk
5NPBIwQyPWE,Avril Lavigne - Complicated (Official Video),"Official HD Video for ""Complicated” by Avril Lavigne 
Listen to Avril Lavigne: https://AvrilLavigne.lnk.to/listen_YD
Listen to ""Let Go"" 20th Anniversary: https://avrillavigne.lnk.to/LetGo20ExpandedEdi",2010-02-25,797588636,5044312,170079,0.65,https://i.ytimg.com/vi/5NPBIwQyPWE/hqdefault.jpg,https://www.youtube.com/watch?v=5NPBIwQyPWE
JLJcHbYSlB8,Taylor Swift - Cruel Summer,"Taylor Swift - Cruel Summer
» Descargar:

» Apoyo Taylor Swift:
Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.tumblr.com
Twi",2023-06-22,54702370,230615,8020,0.44,https://i.ytimg.com/vi/JLJcHbYSlB8/hqdefault.jpg,https://www.youtube.com/watch?v=JLJcHbYSlB8
evJ6gX1lp2o,Artemas - i like the way you kiss me (official music video),"Tickets for The Americas Tour 2025 are on sale now. Get tickets: https://www.artem.as/live

Follow Artemas:
https://www.tiktok.com/@artemasaltalt
https://www.instagram.com/artemas___/
https://twitter.",2024-04-12,186965910,1704767,38142,0.93,https://i.ytimg.com/vi/evJ6gX1lp2o/hqdefault.jpg,https://www.youtube.com/watch?v=evJ6gX1lp2o
0yW7w8F2TVA,James Arthur - Say You Won't Let Go,"Watch the official video to ""Say You Won't Let Go"" by James Arthur
Get the song here: https://smg.lnk.to/sayyouwontletgo 

BITTER SWEET LOVE - The new album - OUT NOW
💿 https://jamesarthur.lnk.to/BSL
",2016-09-09,1760483199,9336320,189373,0.54,https://i.ytimg.com/vi/0yW7w8F2TVA/hqdefault.jpg,https://www.youtube.com/watch?v=0yW7w8F2TVA
VgeEmRfilpo,Lindsay Ell - story i tell myself,"story i tell myself is out now – click here to stream: https://lindsayell.lnk.to/storyitellmyselfYP

‘love myself’ EP out now, click here to listen:
https://bio.to/lindsayell

Follow Lindsay Ell:
http",2024-10-17,65926,1475,113,2.41,https://i.ytimg.com/vi/VgeEmRfilpo/hqdefault.jpg,https://www.youtube.com/watch?v=VgeEmRfilpo
dT2owtxkU8k,Shawn Mendes - There's Nothing Holdin' Me Back (Official Music Video),"New album WONDER available now
Listen here: https://wonder.lnk.to/OutNow

Follow Shawn Mendes
Instagram | https://www.instagram.com/shawnmendes/
Twitter | https://twitter.com/ShawnMendes
Facebook | ht",2017-06-21,1350697138,9852784,224447,0.75,https://i.ytimg.com/vi/dT2owtxkU8k/hqdefault.jpg,https://www.youtube.com/watch?v=dT2owtxkU8k
uSD4vsh1zDA,The Black Eyed Peas - I Gotta Feeling (Official Music Video),"REMASTERED IN HD!
Official Music Video for I Gotta Feeling performed by Black Eyed Peas.

Follow Black Eyed Peas
Instagram: https://www.instagram.com/blackeyedpeas
Twitter: https://www.facebook.com/bl",2009-12-23,858105736,4727250,150680,0.57,https://i.ytimg.com/vi/uSD4vsh1zDA/hqdefault.jpg,https://www.youtube.com/watch?v=uSD4vsh1zDA
Dll6VJ2C7wo,"RAYE, 070 Shake - Escapism. (Official Music Video)","Debut album 'My 21st Century Blues' feat. 'Escapism', 'Hard Out Here' & 'The Thrill Is Gone' available now. Listen/Buy: https://raye.orcd.co/m21cb

Pre-Order/Pre-Save: https://raye.orcd.co/m21cb
Liste",2022-11-09,201501182,1704970,24134,0.86,https://i.ytimg.com/vi/Dll6VJ2C7wo/hqdefault.jpg,https://www.youtube.com/watch?v=Dll6VJ2C7wo
ViwtNLUqkMY,Beyoncé - Crazy In Love ft. JAY Z,"Beyoncé's official video for 'Crazy In Love'. Click to listen to Beyoncé on Spotify: http://smarturl.it/BeyonceSpot?IQid=BeyCIL

As featured on Dangerously In Love. Click to buy the track or album via",2009-10-03,889624184,4184338,81056,0.48,https://i.ytimg.com/vi/ViwtNLUqkMY/hqdefault.jpg,https://www.youtube.com/watch?v=ViwtNLUqkMY
HEXWRTEbj1I,Haddaway - What Is Love [Official 4K],"Available on all streaming platforms:

https://album.link/s6b9vpbhnjztf

Haddaway's musical career started in 1993 with the dance hit ""What Is Love"", which quickly became a standard popular request - ",2014-06-18,390953869,3988435,109095,1.05,https://i.ytimg.com/vi/HEXWRTEbj1I/hqdefault.jpg,https://www.youtube.com/watch?v=HEXWRTEbj1I
Il-an3K9pjg,Anne-Marie - 2002 [Official Video],"The new album 'UNHEALTHY' OUT NOW: https://anne-marie.lnk.to/Unhealthy
Listen to 'UNHEALTHY' feat. Shania Twain: https://anne-marie.lnk.to/Unhealthy-Single/

Check out the Anne-Marie – Top Songs Video",2018-05-08,980206483,5626919,113247,0.59,https://i.ytimg.com/vi/Il-an3K9pjg/hqdefault.jpg,https://www.youtube.com/watch?v=Il-an3K9pjg
1RKqOmSkGgM,"Chappell Roan - Good Luck, Babe! (Official Lyric Video)","Stream to “Good Luck, Babe!” now: https://ChappellRoan.lnk.to/GoodLuckBabeSingle
Listen to ""The Rise and Fall of a Midwest Princess"" now: https://chappellroan.lnk.to/TheRiseandFallofaMidwestPrincess
 ",2024-04-05,107949216,919044,23524,0.87,https://i.ytimg.com/vi/1RKqOmSkGgM/hqdefault.jpg,https://www.youtube.com/watch?v=1RKqOmSkGgM
nfWlot6h_JM,Taylor Swift - Shake It Off,"►Exclusive Merch: https://store.taylorswift.com
 
►Follow Taylor Swift Online
Instagram: http://www.instagram.com/taylorswift
Facebook: http://www.facebook.com/taylorswift
Tumblr: http://taylorswift.t",2014-08-18,3584797788,13906296,597201,0.4,https://i.ytimg.com/vi/nfWlot6h_JM/hqdefault.jpg,https://www.youtube.com/watch?v=nfWlot6h_JM
PIh2xe4jnpk,MAGIC! - Rude (Official Video),"“Don’t Kill the Magic”, the debut album from MAGIC!, Available Now on iTunes: http://smarturl.it/DKTMiTunes?IQid=yt  Follow Magic! Website http://www.ournameismagic.com  Facebook https://www.facebook.",2013-12-06,2582720254,12264398,262206,0.49,https://i.ytimg.com/vi/PIh2xe4jnpk/hqdefault.jpg,https://www.youtube.com/watch?v=PIh2xe4jnpk
Fp8msa5uYsc,Justin Bieber - Ghost,"Justice: The Complete Edition - https://JustinBieber.lnk.to/JusticeTheCompleteEdition 
Shop “Justice” merch - https://justinbieber.lnk.to/OfficialShop
 
Follow Justin: 
https://facebook.com/JustinBieb",2021-10-08,427279576,3879263,116908,0.94,https://i.ytimg.com/vi/Fp8msa5uYsc/hqdefault.jpg,https://www.youtube.com/watch?v=Fp8msa5uYsc
To4SWGZkEPk,Tate McRae - greedy (Official Video),"Tate McRae’s new album, ‘So Close To What’ is out now. Listen here: https://tatemcrae.lnk.to/soclosetowhat    
Shop vinyl, CDs, cassettes and more: https://tatemcrae.lnk.to/Store     
The Miss Possess",2023-09-15,216269590,1638752,26546,0.77,https://i.ytimg.com/vi/To4SWGZkEPk/hqdefault.jpg,https://www.youtube.com/watch?v=To4SWGZkEPk
gdZLi9oWNZg,BTS (방탄소년단) 'Dynamite' Official MV,"BTS (방탄소년단) 'Dynamite' Official MV


Credits:
Director: Yong Seok Choi (Lumpens)
Assistant Director: Jihye Yoon (Lumpens)

Director of Photography: Hyunwoo Nam (GDW)
B Camera Operator: Eumko
Focus Pul",2020-08-21,1975325477,38396097,15722837,2.74,https://i.ytimg.com/vi/gdZLi9oWNZg/hqdefault.jpg,https://www.youtube.com/watch?v=gdZLi9oWNZg
o_1aF54DO60,Lana Del Rey - Young and Beautiful,"New single High By The Beach
Listen on Youtube: http://lanadel.re/HBTByoutube
Download on iTunes: http://lanadel.re/HBTBiTfb
Stream on Spotify: http://lanadel.re/HBTBspotify
 
More Lana Del Rey:
http:",2013-05-10,708845912,5388571,128560,0.78,https://i.ytimg.com/vi/o_1aF54DO60/hqdefault.jpg,https://www.youtube.com/watch?v=o_1aF54DO60
M11SvDtPBhA,Miley Cyrus - Party In The U.S.A. (Official Video),"""Party in the USA"" Official Video
NOW AVAILABLE IN FULL HD!

Click here for more music videos from your favorite Hollywood Records artists:
https://www.youtube.com/playlist?list=PL6MCBitStgNmwQOWtAO4C",2009-09-25,1075545877,4814674,457998,0.49,https://i.ytimg.com/vi/M11SvDtPBhA/hqdefault.jpg,https://www.youtube.com/watch?v=M11SvDtPBhA
